pub_year,pub_date,aid,institution,name,author_age,first_pub_year,last_pub_year,yearly_collabo,all_times_collabo,acquaintance,shared_institutions,coauth_aid,coauth_name,coauth_age,coauth_min_year,age_diff,age_bucket,age_std
2014,2014-01-12,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,6,15,existing_collab,University of Vermont,A5002034958,Christopher M. Danforth,8.0,2006.0,-7.0,same_age,1015-01-12
2014,2014-01-12,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,2,5,existing_collab,University of Vermont,A5060228016,Catherine A. Bliss,7.0,2007.0,-8.0,younger,1015-01-12
2014,2014-02-22,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,3,6,existing_collab,University of Vermont,A5012787401,Morgan R. Frank,1.0,2013.0,-14.0,younger,1015-02-22
2014,2014-07-21,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,2,5,existing_collab,University of Vermont,A5113881318,Lewis Mitchell,32.0,1982.0,17.0,much_older,1015-07-21
2014,2014-10-21,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,1,1,new_collab,University of Vermont,A5085877098,William L. Gottesman,1.0,2013.0,-14.0,younger,1015-10-21
2014,2014-10-18,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,1,2,existing_collab,University of Vermont,A5078987306,Andrew J. Reagan,2.0,2012.0,-13.0,younger,1015-10-18
2014,2014-10-21,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,2,2,new_collab,University of Vermont,A5101587041,Jake Ryland Williams,3.0,2011.0,-12.0,younger,1015-10-21
2014,2014-07-21,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,1,1,new_collab,University of Vermont,A5020396160,Paul R. Lessard,3.0,2011.0,-12.0,younger,1015-07-21
2014,2014-02-22,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,1,2,existing_collab,University of Vermont,A5059471763,Suma Desu,1.0,2013.0,-14.0,younger,1015-02-22
2014,2014-01-12,A5040821463,University of Vermont,Peter Sheridan Dodds,15,1999,2025,2,3,existing_collab,University of Vermont,A5062403203,James P. Bagrow,10.0,2004.0,-5.0,same_age,1015-01-12
2015,2015-08-23,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,4,6,existing_collab,University of Vermont,A5053832932,Eric M. Clark,57.0,1958.0,41.0,much_older,1016-08-23
2015,2015-03-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,6,8,existing_collab,University of Vermont,A5101587041,Jake Ryland Williams,4.0,2011.0,-12.0,younger,1016-03-05
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,2,existing_collab,University of Vermont,A5025928838,Chris Jones,50.0,1965.0,34.0,much_older,1016-10-14
2015,2015-01-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,1,new_collab,University of Vermont,A5090115501,Richard A. Galbraith,63.0,1952.0,47.0,much_older,1016-01-16
2015,2015-09-19,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,12,27,existing_collab,University of Vermont,A5002034958,Christopher M. Danforth,9.0,2006.0,-7.0,same_age,1016-09-19
2015,2015-03-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5082696905,Eitan Adam Pechenick,0.0,2015.0,-16.0,much_younger,1016-03-05
2015,2015-05-09,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5045451254,Javier García-Bernardo,5.0,2010.0,-11.0,younger,1016-05-09
2015,2015-01-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5031168379,Neil F. Johnson,44.0,1971.0,28.0,much_older,1016-01-16
2015,2015-10-29,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,4,7,existing_collab,University of Vermont,A5062403203,James P. Bagrow,11.0,2004.0,-5.0,same_age,1016-10-28
2015,2015-02-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5036317033,Nicholas Allgaier,3.0,2012.0,-13.0,younger,1016-02-16
2015,2015-01-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5016008616,Tobias Banaschewski,45.0,1970.0,29.0,much_older,1016-01-05
2015,2015-01-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5079179983,Gareth J. Barker,,,,,1016-01-05
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5031114437,Arun L.W. Bokde,21.0,1994.0,5.0,same_age,1016-10-14
2015,2015-08-23,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5066791342,Josh Bongard,16.0,1999.0,0.0,same_age,1016-08-23
2015,2015-03-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5079797597,Uli Bromberg,4.0,2011.0,-12.0,younger,1016-03-05
2015,2015-01-07,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5033792391,Christian Büchel,45.0,1970.0,29.0,much_older,1016-01-07
2015,2015-02-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5089357930,Anna Cattrell,8.0,2007.0,-8.0,younger,1016-02-16
2015,2015-01-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5054548219,Patricia Conrod,22.0,1993.0,6.0,same_age,1016-01-05
2015,2015-02-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5000742405,Sylvane Desrivières,22.0,1993.0,6.0,same_age,1016-02-16
2015,2015-09-19,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5044329719,Herta Flor,43.0,1972.0,27.0,much_older,1016-09-19
2015,2015-01-03,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5078842273,Vincent Frouin,23.0,1992.0,7.0,older,1016-01-03
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5018388957,Jürgen Gallinat,19.0,1996.0,3.0,same_age,1016-10-14
2015,2015-02-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5085160808,Penny Gowland,26.0,1989.0,10.0,older,1016-02-16
2015,2015-10-29,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5000701045,Andreas Heinz,60.0,1955.0,44.0,much_older,1016-10-28
2015,2015-11-03,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5031881090,Bernd Ittermann,29.0,1986.0,13.0,older,1016-11-03
2015,2015-08-23,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5068370605,Scott Mackey,11.0,2004.0,-5.0,same_age,1016-08-23
2015,2015-10-26,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5028382889,Jean‐Luc Martinot,25.0,1990.0,9.0,older,1016-10-26
2015,2015-01-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,1,new_collab,University of Vermont,A5016188638,Kevin D. Murphy,48.0,1967.0,32.0,much_older,1016-01-16
2015,2015-03-05,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5075640613,Frauke Nees,7.0,2008.0,-9.0,younger,1016-03-05
2015,2015-08-25,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5063754646,Dimitri Papadopoulos Orfanos,18.0,1997.0,2.0,same_age,1016-08-25
2015,2015-01-07,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5059687987,Luise Poustka,13.0,2002.0,-3.0,same_age,1016-01-07
2015,2015-10-26,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5063406820,Michael N. Smolka,18.0,1997.0,2.0,same_age,1016-10-26
2015,2015-09-19,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5054161290,Henrik Walter,,,,,1016-09-19
2015,2015-08-25,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,University of Vermont,A5050499058,Robert Whelan,32.0,1983.0,16.0,much_older,1016-08-25
2015,2015-01-07,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5090364896,Günter Schumann,58.0,1957.0,42.0,much_older,1016-01-07
2015,2015-08-23,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,2,new_collab,,A5001775538,Hugh Garavan,23.0,1992.0,7.0,older,1016-08-23
2015,2015-05-09,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,2,existing_collab,University of Vermont,A5020396160,Paul R. Lessard,4.0,2011.0,-12.0,younger,1016-05-09
2015,2015-08-25,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,2,4,existing_collab,University of Vermont,A5059471763,Suma Desu,2.0,2013.0,-14.0,younger,1016-08-25
2015,2015-01-16,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,1,new_collab,University of Vermont,A5010862346,Emily M. Cody,0.0,2015.0,-16.0,much_younger,1016-01-16
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,4,6,existing_collab,University of Vermont,A5078987306,Andrew J. Reagan,3.0,2012.0,-13.0,younger,1016-10-14
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,3,8,existing_collab,University of Vermont,A5113881318,Lewis Mitchell,33.0,1982.0,17.0,much_older,1016-10-14
2015,2015-05-09,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,7,existing_collab,University of Vermont,A5012787401,Morgan R. Frank,2.0,2013.0,-14.0,younger,1016-05-09
2015,2015-10-14,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,12,existing_collab,University of Vermont,A5060223489,Kameron Decker Harris,6.0,2009.0,-10.0,younger,1016-10-14
2015,2015-01-03,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,4,existing_collab,University of Vermont,A5112615531,Isabel M. Kloumann,5.0,2010.0,-11.0,younger,1016-01-03
2015,2015-01-07,A5040821463,University of Vermont,Peter Sheridan Dodds,16,1999,2025,1,1,new_collab,University of Vermont,A5074081869,Karine Megerdoomian,16.0,1999.0,0.0,same_age,1016-01-07
