Timepoint,institution,category,value,mean_distance,std_distance,count,unique_respondents
1,TP_Financial,ACES_Compound,8.0,4.166666666666667,1.7224014243685084,6,6
1,TP_Friend,ACES_Compound,8.0,2.8333333333333335,2.136976056643281,6,6
1,TP_Gov,ACES_Compound,8.0,5.0,1.4142135623730951,6,6
1,TP_Medical,ACES_Compound,8.0,3.1666666666666665,2.136976056643281,6,6
1,TP_Neighbor,ACES_Compound,8.0,5.0,1.0954451150103321,6,6
1,TP_NonProf,ACES_Compound,8.0,4.666666666666667,1.96638416050035,6,6
1,TP_Platform,ACES_Compound,8.0,5.333333333333333,1.632993161855452,6,6
1,TP_Police,ACES_Compound,8.0,5.666666666666667,1.632993161855452,6,6
1,TP_Relative,ACES_Compound,8.0,4.833333333333333,1.4719601443879746,6,6
1,TP_Researcher,ACES_Compound,8.0,3.5,2.258317958127243,6,6
1,TP_School,ACES_Compound,8.0,4.166666666666667,1.7224014243685082,6,6
1,TP_Stranger,ACES_Compound,8.0,5.833333333333333,1.3291601358251257,6,6
1,TP_Acquaintance,ACES_Compound,9.0,5.5,1.2909944487358056,4,4
1,TP_Co_worker,ACES_Compound,9.0,4.75,1.707825127659933,4,4
1,TP_Company_cust,ACES_Compound,9.0,5.0,2.160246899469287,4,4
1,TP_Company_notcust,ACES_Compound,9.0,6.25,0.9574271077563382,4,4
1,TP_Employer,ACES_Compound,9.0,4.0,2.160246899469287,4,4
1,TP_Financial,ACES_Compound,9.0,4.0,2.160246899469287,4,4
1,TP_Friend,ACES_Compound,9.0,1.5,1.0,4,4
1,TP_Gov,ACES_Compound,9.0,4.5,2.081665999466133,4,4
1,TP_Medical,ACES_Compound,9.0,3.5,1.2909944487358056,4,4
1,TP_Neighbor,ACES_Compound,9.0,5.25,1.2583057392117916,4,4
1,TP_NonProf,ACES_Compound,9.0,3.75,1.2583057392117916,4,4
1,TP_Platform,ACES_Compound,9.0,4.25,1.707825127659933,4,4
1,TP_Police,ACES_Compound,9.0,4.5,2.081665999466133,4,4
1,TP_Relative,ACES_Compound,9.0,5.25,1.5,4,4
1,TP_Researcher,ACES_Compound,9.0,3.75,1.2583057392117916,4,4
1,TP_School,ACES_Compound,9.0,4.75,2.629955639676583,4,4
1,TP_Stranger,ACES_Compound,9.0,6.5,0.5773502691896258,4,4
