Timepoint,institution,distance,category,value
1,TP_Co_worker,3.0,ACES_Compound,12.0
1,TP_Company_cust,4.0,ACES_Compound,12.0
1,TP_Company_notcust,4.0,ACES_Compound,12.0
1,TP_Employer,5.0,ACES_Compound,12.0
1,TP_Financial,5.0,ACES_Compound,12.0
1,TP_Friend,2.0,ACES_Compound,12.0
1,TP_Gov,5.0,ACES_Compound,12.0
1,TP_Medical,2.0,ACES_Compound,12.0
1,TP_Neighbor,3.0,ACES_Compound,12.0
1,TP_NonProf,3.0,ACES_Compound,12.0
1,TP_Platform,5.0,ACES_Compound,12.0
1,TP_Police,6.0,ACES_Compound,12.0
1,TP_Relative,5.0,ACES_Compound,12.0
1,TP_Researcher,2.0,ACES_Compound,12.0
1,TP_School,3.0,ACES_Compound,12.0
1,TP_Stranger,3.0,ACES_Compound,12.0
1,TP_Acquaintance,4.285714285714286,Dem_Relationship_Status_Single,0.0
1,TP_Co_worker,4.023809523809524,Dem_Relationship_Status_Single,0.0
1,TP_Company_cust,4.587301587301587,Dem_Relationship_Status_Single,0.0
1,TP_Company_notcust,5.365079365079365,Dem_Relationship_Status_Single,0.0
1,TP_Employer,3.5952380952380953,Dem_Relationship_Status_Single,0.0
1,TP_Financial,3.7301587301587302,Dem_Relationship_Status_Single,0.0
1,TP_Friend,2.0555555555555554,Dem_Relationship_Status_Single,0.0
1,TP_Gov,4.5396825396825395,Dem_Relationship_Status_Single,0.0
1,TP_Medical,2.5476190476190474,Dem_Relationship_Status_Single,0.0
1,TP_Neighbor,4.373015873015873,Dem_Relationship_Status_Single,0.0
1,TP_NonProf,3.992063492063492,Dem_Relationship_Status_Single,0.0
1,TP_Platform,4.436507936507937,Dem_Relationship_Status_Single,0.0
1,TP_Police,4.568,Dem_Relationship_Status_Single,0.0
1,TP_Relative,2.515873015873016,Dem_Relationship_Status_Single,0.0
1,TP_Researcher,3.4126984126984126,Dem_Relationship_Status_Single,0.0
1,TP_School,3.9126984126984126,Dem_Relationship_Status_Single,0.0
1,TP_Stranger,5.873015873015873,Dem_Relationship_Status_Single,0.0
1,TP_Acquaintance,4.3632958801498125,Dem_Relationship_Status_Single,1.0
1,TP_Co_worker,4.116104868913857,Dem_Relationship_Status_Single,1.0
1,TP_Company_cust,4.785714285714286,Dem_Relationship_Status_Single,1.0
1,TP_Company_notcust,5.496212121212121,Dem_Relationship_Status_Single,1.0
1,TP_Employer,3.6104868913857677,Dem_Relationship_Status_Single,1.0
1,TP_Financial,3.857677902621723,Dem_Relationship_Status_Single,1.0
1,TP_Friend,2.2808988764044944,Dem_Relationship_Status_Single,1.0
1,TP_Gov,4.6254681647940075,Dem_Relationship_Status_Single,1.0
1,TP_Medical,2.6278195488721803,Dem_Relationship_Status_Single,1.0
1,TP_Neighbor,4.47565543071161,Dem_Relationship_Status_Single,1.0
1,TP_NonProf,4.138576779026217,Dem_Relationship_Status_Single,1.0
1,TP_Platform,4.879699248120301,Dem_Relationship_Status_Single,1.0
1,TP_Police,4.773584905660377,Dem_Relationship_Status_Single,1.0
1,TP_Relative,2.655430711610487,Dem_Relationship_Status_Single,1.0
1,TP_Researcher,3.4794007490636703,Dem_Relationship_Status_Single,1.0
1,TP_School,3.7715355805243447,Dem_Relationship_Status_Single,1.0
1,TP_Stranger,5.981203007518797,Dem_Relationship_Status_Single,1.0
1,TP_Acquaintance,4.467924528301887,gender_ord,0.0
1,TP_Co_worker,4.211320754716981,gender_ord,0.0
1,TP_Company_cust,4.784090909090909,gender_ord,0.0
1,TP_Company_notcust,5.509505703422053,gender_ord,0.0
1,TP_Employer,3.637735849056604,gender_ord,0.0
1,TP_Financial,3.822641509433962,gender_ord,0.0
1,TP_Friend,2.2528301886792454,gender_ord,0.0
1,TP_Gov,4.513207547169811,gender_ord,0.0
1,TP_Medical,2.6754716981132076,gender_ord,0.0
1,TP_Neighbor,4.505660377358491,gender_ord,0.0
1,TP_NonProf,4.1358490566037736,gender_ord,0.0
1,TP_Platform,4.769811320754717,gender_ord,0.0
1,TP_Police,4.669201520912548,gender_ord,0.0
1,TP_Relative,2.607547169811321,gender_ord,0.0
1,TP_Researcher,3.569811320754717,gender_ord,0.0
1,TP_School,3.830188679245283,gender_ord,0.0
1,TP_Stranger,6.0227272727272725,gender_ord,0.0
1,TP_Acquaintance,3.9450549450549453,gender_ord,1.0
1,TP_Co_worker,3.802197802197802,gender_ord,1.0
1,TP_Company_cust,4.43956043956044,gender_ord,1.0
1,TP_Company_notcust,5.241758241758242,gender_ord,1.0
1,TP_Employer,3.340659340659341,gender_ord,1.0
1,TP_Financial,3.5934065934065935,gender_ord,1.0
1,TP_Friend,2.131868131868132,gender_ord,1.0
1,TP_Gov,4.681318681318682,gender_ord,1.0
1,TP_Medical,2.1758241758241756,gender_ord,1.0
1,TP_Neighbor,4.142857142857143,gender_ord,1.0
1,TP_NonProf,3.89010989010989,gender_ord,1.0
1,TP_Platform,4.549450549450549,gender_ord,1.0
1,TP_Police,4.655555555555556,gender_ord,1.0
1,TP_Relative,2.2967032967032965,gender_ord,1.0
1,TP_Researcher,3.10989010989011,gender_ord,1.0
1,TP_School,3.6483516483516483,gender_ord,1.0
1,TP_Stranger,5.714285714285714,gender_ord,1.0
1,TP_Acquaintance,4.378378378378378,gender_ord,2.0
1,TP_Co_worker,3.891891891891892,gender_ord,2.0
1,TP_Company_cust,4.972972972972973,gender_ord,2.0
1,TP_Company_notcust,5.583333333333333,gender_ord,2.0
1,TP_Employer,4.027027027027027,gender_ord,2.0
1,TP_Financial,4.324324324324325,gender_ord,2.0
1,TP_Friend,2.081081081081081,gender_ord,2.0
1,TP_Gov,5.0,gender_ord,2.0
1,TP_Medical,3.138888888888889,gender_ord,2.0
1,TP_Neighbor,4.72972972972973,gender_ord,2.0
1,TP_NonProf,4.27027027027027,gender_ord,2.0
1,TP_Platform,4.972222222222222,gender_ord,2.0
1,TP_Police,5.108108108108108,gender_ord,2.0
1,TP_Relative,3.4054054054054053,gender_ord,2.0
1,TP_Researcher,3.5135135135135136,gender_ord,2.0
1,TP_School,4.135135135135135,gender_ord,2.0
1,TP_Stranger,5.972972972972973,gender_ord,2.0
1,TP_Acquaintance,4.0,multi_platform_ord,0.0
1,TP_Co_worker,3.5555555555555554,multi_platform_ord,0.0
1,TP_Company_cust,5.111111111111111,multi_platform_ord,0.0
1,TP_Company_notcust,5.777777777777778,multi_platform_ord,0.0
1,TP_Employer,3.5555555555555554,multi_platform_ord,0.0
1,TP_Financial,3.6666666666666665,multi_platform_ord,0.0
1,TP_Friend,2.2222222222222223,multi_platform_ord,0.0
1,TP_Gov,5.111111111111111,multi_platform_ord,0.0
1,TP_Medical,2.2222222222222223,multi_platform_ord,0.0
1,TP_Neighbor,4.666666666666667,multi_platform_ord,0.0
1,TP_NonProf,3.7777777777777777,multi_platform_ord,0.0
1,TP_Platform,5.0,multi_platform_ord,0.0
1,TP_Police,5.333333333333333,multi_platform_ord,0.0
1,TP_Relative,2.7777777777777777,multi_platform_ord,0.0
1,TP_Researcher,2.888888888888889,multi_platform_ord,0.0
1,TP_School,3.6666666666666665,multi_platform_ord,0.0
1,TP_Stranger,5.777777777777778,multi_platform_ord,0.0
1,TP_Acquaintance,4.6022727272727275,multi_platform_ord,1.0
1,TP_Co_worker,4.340909090909091,multi_platform_ord,1.0
1,TP_Company_cust,4.863636363636363,multi_platform_ord,1.0
1,TP_Company_notcust,5.735632183908046,multi_platform_ord,1.0
1,TP_Employer,3.5681818181818183,multi_platform_ord,1.0
1,TP_Financial,3.9204545454545454,multi_platform_ord,1.0
1,TP_Friend,2.4204545454545454,multi_platform_ord,1.0
1,TP_Gov,4.670454545454546,multi_platform_ord,1.0
1,TP_Medical,2.4318181818181817,multi_platform_ord,1.0
1,TP_Neighbor,4.386363636363637,multi_platform_ord,1.0
1,TP_NonProf,4.318181818181818,multi_platform_ord,1.0
